bit_index,variance,variance_rank
1695,0.020081329680705536,415
129,0.01998876833994691,416
1557,0.019825815136379186,417
1308,0.019824333478952003,418
252,0.019809516642397062,419
701,0.019796181081766628,420
1230,0.019664286407756845,421
79,0.01964427661285896,422
825,0.019627230546507408,423
1059,0.019619819016598764,424
362,0.01958794807948443,425
1527,0.01954643843801049,426
911,0.01947971868148634,427
108,0.01943819929261912,428
1859,0.019384811727579925,429
1348,0.019378137847394637,430
1921,0.019357374047038516,431
651,0.019347733393438694,432
1601,0.019337350925775407,433
1336,0.019229804481939415,434
705,0.01922016116258967,435
1512,0.019211259458206682,436
1409,0.019194197378280455,437
2033,0.01917639279639376,438
1718,0.019122974930504816,439
1175,0.019114813323423265,440
717,0.019060646275700494,441
1333,0.019048031119680436,442
967,0.019029478793748115,443
45,0.018899591648794466,444
294,0.018806050296817912,445
269,0.01878971573891129,446
777,0.018787488254489403,447
815,0.018783775756609014,448
1494,0.0187332828264056,449
1725,0.01869169627399291,450
1320,0.018621139107268068,451
2030,0.0184339248135057,452
408,0.018352180551831302,453
255,0.018343262123324915,454
1824,0.018329140927088122,455
1954,0.018328397694311594,456
1223,0.01824589144542774,457
930,0.018231023892861287,458
706,0.018221359727967085,459
1129,0.01818716183437783,460
931,0.0180986816661446,461
1539,0.018072654874284656,462
97,0.01806298740820014,463
1334,0.017970764528267066,464
692,0.01790232925556197,465
1742,0.017743847996514735,466
1616,0.017705149521860645,467
297,0.017693985901247395,468
64,0.01768654333848075,469
894,0.017677612105790916,470
512,0.01756000153085122,471
1797,0.017533200021514515,472
751,0.017502674198444337,473
1410,0.017372358518692003,474
2,0.01736640035778739,475
1154,0.01733437393568235,476
738,0.017289682220952923,477
1052,0.017251690888922554,478
879,0.017243496273514472,479
449,0.017216676523581248,480
1676,0.01705423503074015,481
1356,0.0169685205899741,482
1560,0.016965538934378757,483
1575,0.016928266629972547,484
1729,0.01690813834630561,485
283,0.016858186628907357,486
1788,0.01683656407676552,487
1099,0.016820905740691023,488
781,0.016751555361102323,489
690,0.016743351946096666,490
179,0.016706061877972276,491
440,0.016684432272799785,492
284,0.016678465308721004,493
994,0.016666531151661848,494
144,0.016650867107353615,495
1482,0.01664713749550178,496
1463,0.016629980897096282,497
1344,0.01649270540567451,498
1497,0.016486735990441065,499
910,0.016470319705124456,500
1048,0.016458380226103016,501
1940,0.01643002274023416,502
586,0.01640987295412285,503
1040,0.016326279376127132,504
1282,0.0163135897579386,505
69,0.016305378644924335,506
1606,0.016305378644924335,507
1065,0.016252376172259206,508
